num_nodes,array_size,message_host,rank,message_time
72,10000,arch04,37,0.0206817
72,10000,arch04,38,0.0209542
72,10000,arch04,39,0.0209854
72,10000,arch05,40,0.020682
72,10000,arch05,41,0.020734
72,10000,arch05,42,0.020701
72,10000,arch05,43,0.0206926
72,10000,arch05,44,0.0207363
72,10000,arch05,45,0.0208306
72,10000,arch05,46,0.0206377
72,10000,arch05,47,0.0205054
72,10000,arch06,48,0.0207914
72,10000,arch06,49,0.0209075
72,10000,arch06,50,0.0208602
72,10000,arch06,51,0.0205424
72,10000,arch06,52,0.0208121
72,10000,arch06,53,0.0207909
72,10000,arch06,54,0.0205492
72,10000,arch06,55,0.0206604
72,10000,arch07,56,0.0207403
72,10000,arch07,57,0.0208128
72,10000,arch07,58,0.0206556
72,10000,arch07,59,0.0209237
72,10000,arch07,60,0.0207212
72,10000,arch07,61,0.0207843
72,10000,arch07,62,0.0207862
72,10000,arch07,63,0.0206367
72,10000,arch10,64,0.0207446
72,10000,arch10,65,0.0205452
72,10000,arch10,66,0.020869
72,10000,arch10,67,0.0205977
72,10000,arch10,68,0.0209873
72,10000,arch10,69,0.0205009
72,10000,arch10,70,0.0208642
72,10000,arch10,71,0.0208357
72,100000,arch08,1,0.000256866
72,100000,arch08,2,0.000753797
72,100000,arch08,3,0.00165784
72,100000,arch08,4,0.00211958
72,100000,arch08,5,0.00265974
72,100000,arch08,6,0.0029705
72,100000,arch08,7,0.00337366
72,100000,arch01,8,0.0137718
72,100000,arch01,9,0.0179214
72,100000,arch01,10,0.0216749
72,100000,arch01,11,0.0258114
72,100000,arch01,12,0.030028
72,100000,arch01,13,0.0340024
72,100000,arch01,14,0.0382549
72,100000,arch01,15,0.04231
72,100000,arch02,16,0.0451409
72,100000,arch02,17,0.0489952
72,100000,arch02,18,0.0528244
72,100000,arch02,19,0.0567038
72,100000,arch02,20,0.0619091
72,100000,arch02,21,0.0659449
72,100000,arch02,22,0.0697624
72,100000,arch02,23,0.073819
72,100000,arch03,24,0.0765762
72,100000,arch03,25,0.0808098
72,100000,arch03,26,0.0853588
72,100000,arch03,27,0.0896905
72,100000,arch03,28,0.0938596
72,100000,arch03,29,0.0977715
72,100000,arch03,30,0.101519
72,100000,arch03,31,0.105569
72,100000,arch04,32,0.110206
72,100000,arch04,33,0.114154
72,100000,arch04,34,0.118085
72,100000,arch04,35,0.122132
72,100000,arch04,36,0.126084
72,100000,arch04,37,0.130095
